time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,pcon_code,pcon_name,phase_type_grouping,establishment_type,hospital_school,sen_provision,pupil_count,pupil_percent
202526,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8920227,100
202526,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",538547,6.03736877996
202526,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1319780,14.79536339153
202425,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,9032426,100
202425,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",482640,5.34341493636
202425,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1284284,14.21859420713
202324,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,9092073,100
202324,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",434354,4.77728236453
202324,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1238851,13.62561651231
202223,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,9073832,100
202223,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",389171,4.28893768366
202223,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1183384,13.04172261509
202122,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,9000031,100
202122,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",355566,3.95071972529
202122,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1129843,12.55376787035
202021,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8911887,100
202021,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",325618,3.65374920036
202021,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1083083,12.15323982451
201920,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8890345,100
201920,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",294758,3.31548438221
201920,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1079000,12.13676184669
201819,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8819289,100
201819,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",271165,3.07468096351
201819,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1047163,11.87355352568
201718,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8735098,100
201718,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",253679,2.90413456151
201718,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1022537,11.70607358955
201617,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8669080,100
201617,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",242184,2.79365284436
201617,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,1002069,11.55911584620
201516,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,Total,8559540,100
201516,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,"Education, health and care plan",236806,2.76657390467
201516,Academic year,National,E92000001,England,,,,,,,,Total,Total,Total,SEN support / SEN without an EHC plan,991981,11.58918586746
